step,transactions,fraud_count
1,2708,16
2,1014,8
3,552,4
4,565,10
5,665,6
6,1660,22
7,6837,12
8,21097,12
9,37628,19
10,35991,11
11,37241,7
12,36153,14
13,37515,14
14,41485,12
15,44609,20
16,42471,10
17,43361,7
18,49579,16
19,51352,11
20,40625,4
21,19152,5
22,12635,23
23,6144,2
24,3216,6
25,1598,18
26,440,12
27,41,8
28,4,4
29,4,4
30,8,8
31,12,12
32,12,12
33,23616,12
34,30904,22
35,29157,15
36,39774,19
37,34000,13
38,31453,16
39,23391,12
40,34270,14
41,36348,12
42,41304,14
43,45060,13
44,38523,8
45,18500,16
46,12445,14
47,8681,21
48,5693,10
49,764,4
50,6,6
51,14,14
52,8,8
53,10,10
54,4,4
55,12,12
56,18,18
57,6,6
58,20,20
59,20,20
60,12,12
61,14,14
62,8,8
63,8,8
64,18,18
65,20,20
66,24,24
67,6,6
68,18,18
69,20,20
70,6,6
71,20,20
72,14,14
73,8,8
74,22,22
75,8,8
76,4,4
77,10,10
78,10,10
79,10,10
80,10,10
81,10,10
82,10,10
83,12,12
84,16,16
85,14,14
86,18,18
87,6,6
88,8,8
89,6,6
90,16,16
91,8,8
92,10,10
93,4444,16
94,10372,12
95,6858,14
96,6350,4
97,685,10
98,14,14
99,8,8
100,6,6
101,12,12
102,12,12
103,8,8
104,14,14
105,18,18
106,18,18
107,10,10
108,8,8
109,12,12
110,10,10
111,10,10
112,2,2
113,6,6
114,4,4
115,10,10
116,14,14
117,12,12
118,12,12
119,5740,10
120,3144,12
121,1074,14
122,414,14
123,52,6
124,4,4
125,10,10
126,6,6
127,14,14
128,8,8
129,21986,6
130,32890,6
131,36375,16
132,35936,10
133,35147,10
134,32391,10
135,27556,8
136,30340,10
137,32559,12
138,31422,4
139,46054,4
140,37012,14
141,16434,8
142,12189,8
143,7609,16
144,3523,10
145,1117,14
146,522,10
147,84,6
148,12,12
149,22,22
150,14,14
151,18,18
152,6,6
153,19475,10
154,29241,10
155,29927,8
156,27603,18
157,29764,16
158,27839,8
159,27561,10
160,27765,26
161,33049,14
162,40622,10
163,46352,8
164,39102,14
165,16542,4
166,12176,6
167,7946,6
168,3824,2
169,1464,10
170,529,16
171,14,14
172,10,10
173,14,14
174,10,10
175,8,8
176,10,10
177,17336,18
178,28204,14
179,30534,8
180,31481,10
181,31749,11
182,31900,8
183,31199,16
184,32175,8
185,37323,16
186,43747,17
187,49083,10
