amount,transactions,fraud_count,fraud_prevalence
"(-0.001, 34162.534]",277041,759,0.002739666691933685
"(34162.534, 66797.146]",277041,523,0.0018878072198699831
"(66797.146, 99390.778]",277041,415,0.0014979732241798146
"(99390.778, 133738.014]",277041,427,0.0015412881125898333
"(133738.014, 171260.93]",277041,379,0.0013680285589497583
"(171260.93, 215050.366]",277040,346,0.001248917123881028
"(215050.366, 270842.392]",277041,403,0.0014546583357697958
"(270842.392, 352961.522]",277041,474,0.00171093809219574
"(352961.522, 544867.566]",277041,763,0.002754104988070358
"(544867.566, 92445516.64]",277041,3724,0.01344205370324248
