step,transactions,fraud_count,legitimate_count,fraud_prevalence
1,664,16,648,0.024096385542168676
2,185,8,177,0.043243243243243246
3,87,4,83,0.04597701149425287
4,119,10,109,0.08403361344537816
5,91,6,85,0.06593406593406594
6,336,22,314,0.06547619047619048
7,1907,12,1895,0.006292606187729418
8,8114,12,8102,0.0014789253142716292
9,16207,19,16188,0.0011723329425556857
10,15434,11,15423,0.0007127121938577168
11,16068,7,16061,0.0004356484939009211
12,16072,14,16058,0.0008710801393728223
13,17092,14,17078,0.0008190966534051018
14,19397,12,19385,0.0006186523689230293
15,21031,20,21011,0.0009509771290000475
16,19697,10,19687,0.0005076915266284206
17,20135,7,20128,0.0003476533399553017
18,23330,16,23314,0.0006858122588941278
19,23768,11,23757,0.00046280713564456413
20,17543,4,17539,0.00022801117254745484
21,7238,5,7233,0.0006907985631389886
22,3977,23,3954,0.0057832537088257484
23,1688,2,1686,0.001184834123222749
24,903,6,897,0.006644518272425249
25,355,18,337,0.05070422535211268
26,112,12,100,0.10714285714285714
27,23,8,15,0.34782608695652173
28,4,4,0,1.0
29,4,4,0,1.0
30,8,8,0,1.0
31,12,12,0,1.0
32,12,12,0,1.0
33,10087,12,10075,0.0011896500446118767
34,13894,22,13872,0.0015834173024327047
35,13074,15,13059,0.0011473152822395595
36,18991,19,18972,0.0010004739086935917
37,15990,13,15977,0.0008130081300813008
38,14566,16,14550,0.0010984484415762735
39,10508,12,10496,0.0011419870574800152
40,16061,14,16047,0.0008716767324575057
41,16943,12,16931,0.0007082570973263295
42,19119,14,19105,0.0007322558711229666
43,21204,13,21191,0.0006130918694585928
44,16901,8,16893,0.0004733447724986687
45,7071,16,7055,0.002262763399802008
46,4088,14,4074,0.003424657534246575
47,2458,21,2437,0.00854353132628153
48,1389,10,1379,0.007199424046076314
49,123,4,119,0.032520325203252036
50,6,6,0,1.0
51,14,14,0,1.0
52,8,8,0,1.0
53,10,10,0,1.0
54,4,4,0,1.0
55,12,12,0,1.0
56,18,18,0,1.0
57,6,6,0,1.0
58,20,20,0,1.0
59,20,20,0,1.0
60,12,12,0,1.0
61,14,14,0,1.0
62,8,8,0,1.0
63,8,8,0,1.0
64,18,18,0,1.0
65,20,20,0,1.0
66,24,24,0,1.0
67,6,6,0,1.0
68,18,18,0,1.0
69,20,20,0,1.0
70,6,6,0,1.0
71,20,20,0,1.0
72,14,14,0,1.0
73,8,8,0,1.0
74,22,22,0,1.0
75,8,8,0,1.0
76,4,4,0,1.0
77,10,10,0,1.0
78,10,10,0,1.0
79,10,10,0,1.0
80,10,10,0,1.0
81,10,10,0,1.0
82,10,10,0,1.0
83,12,12,0,1.0
84,16,16,0,1.0
85,14,14,0,1.0
86,18,18,0,1.0
87,6,6,0,1.0
88,8,8,0,1.0
89,6,6,0,1.0
90,16,16,0,1.0
91,8,8,0,1.0
92,10,10,0,1.0
93,1667,16,1651,0.009598080383923215
94,3209,12,3197,0.00373948270489249
95,2039,14,2025,0.006866110838646395
96,1635,4,1631,0.0024464831804281344
97,130,10,120,0.07692307692307693
98,14,14,0,1.0
99,8,8,0,1.0
100,6,6,0,1.0
101,12,12,0,1.0
102,12,12,0,1.0
103,8,8,0,1.0
104,14,14,0,1.0
105,18,18,0,1.0
106,18,18,0,1.0
107,10,10,0,1.0
108,8,8,0,1.0
109,12,12,0,1.0
110,10,10,0,1.0
111,10,10,0,1.0
112,2,2,0,1.0
113,6,6,0,1.0
114,4,4,0,1.0
115,10,10,0,1.0
116,14,14,0,1.0
117,12,12,0,1.0
118,12,12,0,1.0
119,1601,10,1591,0.006246096189881324
120,724,12,712,0.016574585635359115
121,213,14,199,0.06572769953051644
122,92,14,78,0.15217391304347827
123,35,6,29,0.17142857142857143
124,4,4,0,1.0
125,10,10,0,1.0
126,6,6,0,1.0
127,14,14,0,1.0
128,8,8,0,1.0
129,9431,6,9425,0.0006361997667267522
130,15001,6,14995,0.0003999733351109926
131,16406,16,16390,0.0009752529562355236
132,16611,10,16601,0.0006020107157907411
133,16200,10,16190,0.0006172839506172839
134,14879,10,14869,0.0006720881779689495
135,12459,8,12451,0.0006421061080343527
136,13872,10,13862,0.0007208765859284891
137,15540,12,15528,0.0007722007722007722
138,14203,4,14199,0.0002816306414137858
139,21559,4,21555,0.00018553736258639084
140,16265,14,16251,0.0008607439286812173
141,6136,8,6128,0.001303780964797914
142,3979,8,3971,0.0020105554159336515
143,2082,16,2066,0.007684918347742555
144,905,10,895,0.011049723756906077
145,206,14,192,0.06796116504854369
