type,period,first_step,last_step,steps_covered,transactions,fraud_count,fraud_prevalence,precision,recall,F1,AP,threshold,alerts,alert_rate,TP,FP,FN,TN,median_amount,median_opening_balance,median_score,p99_score,transfer_share
CASH_OUT,15,378,384,7,53515,33,0.0006166495375128469,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,33,0.0006166495375128469,33,0,0,53482,128520.77,240.0,0.011425799035541202,0.036616971589582624,0.0
CASH_OUT,16,385,408,24,152162,160,0.0010515108897096515,1.0,0.99375,0.9968652037617555,1.0,0.9117386299003929,159,0.0010449389466489663,159,0,1,152002,144488.78,427.0,0.011188955709571277,0.042513533995173644,0.0
CASH_OUT,17,409,432,24,6201,134,0.02160941783583293,1.0,0.9850746268656716,0.9924812030075187,1.0,0.9117386299003929,132,0.021286889211417512,132,0,2,6067,140058.75,9939.0,0.002691100696510713,0.9999999999990317,0.0
CASH_OUT,18,433,456,24,3230,128,0.039628482972136225,1.0,1.0,1.0,1.0,0.9117386299003929,128,0.039628482972136225,128,0,0,3102,128252.58499999999,9965.5,0.0024892558492342286,0.9999999999998528,0.0
CASH_OUT,19,457,480,24,6191,118,0.019059925698594736,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,118,0.019059925698594736,118,0,0,6073,145336.67,7441.0,0.0029002729333612864,0.9999999999978954,0.0
CASH_OUT,20,481,504,24,7567,136,0.017972776529668298,1.0,1.0,1.0,1.0,0.9117386299003929,136,0.017972776529668298,136,0,0,7431,144600.43,5515.0,0.003063166213586674,0.9999999999987877,0.0
CASH_OUT,21,505,528,24,16732,128,0.007650011953143677,1.0,1.0,1.0,1.0,0.9117386299003929,128,0.007650011953143677,128,0,0,16604,139727.72999999998,2108.5,0.0056279834889591315,0.06734169146888051,0.0
CASH_OUT,22,529,552,24,16132,108,0.006694768162658071,1.0,1.0,1.0,1.0,0.9117386299003929,108,0.006694768162658071,108,0,0,16024,140371.03999999998,5221.17,0.003075661406921592,0.062223986643098216,0.0
CASH_OUT,23,553,576,24,10676,140,0.013113525665043087,1.0,0.9928571428571429,0.996415770609319,1.0,0.9117386299003929,139,0.013019857624578494,139,0,1,10536,146274.02000000002,6271.5,0.0031510575785683075,0.9999999999865085,0.0
CASH_OUT,24,577,600,24,19054,120,0.006297890206780728,1.0,0.9916666666666667,0.99581589958159,1.0,0.9117386299003929,119,0.006245407788390889,119,0,1,18934,136279.66,9913.5,0.0021464503142780726,0.057822690798377104,0.0
CASH_OUT,25,601,624,24,4214,136,0.0322733744660655,1.0,0.9926470588235294,0.996309963099631,1.0,0.9117386299003929,135,0.03203607024205031,135,0,1,4078,123951.89,11475.0,0.0017750638171928788,0.9999999999996033,0.0
CASH_OUT,26,625,648,24,2834,140,0.04940014114326041,1.0,0.9857142857142858,0.9928057553956835,1.0,0.9117386299003929,138,0.048694424841213835,138,0,2,2694,157411.0,10434.0,0.0025100713646620336,0.999999999999889,0.0
CASH_OUT,27,649,672,24,4229,124,0.02932135256561835,1.0,0.9919354838709677,0.9959514170040485,0.9999999999999999,0.9117386299003929,123,0.02908489004492788,123,0,1,4105,154244.05,8769.0,0.002647365002091223,0.9999999999993817,0.0
CASH_OUT,28,673,696,24,17965,130,0.007236292791539103,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,130,0.007236292791539103,130,0,0,17835,144344.77,7563.0,0.0026219152709401686,0.06765087465118666,0.0
CASH_OUT,29,697,720,24,4047,134,0.033110946380034596,1.0,0.9925373134328358,0.9962546816479401,1.0,0.9117386299003929,133,0.03286384976525822,133,0,1,3913,146185.22,21109.0,0.00041550433414106516,0.9999999999997206,0.0
CASH_OUT,30,721,743,23,136,136,1.0,1.0,0.9779411764705882,0.9888475836431226,,0.9117386299003929,133,0.9779411764705882,133,0,3,0,320304.775,320304.775,0.9999999999976482,0.999999999999988,0.0
TRANSFER,15,378,384,7,12195,33,0.002706027060270603,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,33,0.002706027060270603,33,0,0,12162,364168.6,0.0,0.012504004514210576,0.06416384295205628,1.0
TRANSFER,16,385,408,24,35618,160,0.004492110730529507,1.0,1.0,1.0,1.0,0.9117386299003929,160,0.004492110730529507,160,0,0,35458,550517.865,0.0,0.01244803406043839,0.0701078873540058,1.0
TRANSFER,17,409,432,24,1867,134,0.07177289769683985,1.0,1.0,1.0,1.0,0.9117386299003929,134,0.07177289769683985,134,0,0,1733,418979.33,0.0,0.013122189959976485,0.999999999999943,1.0
TRANSFER,18,433,456,24,993,128,0.12890231621349446,1.0,0.9921875,0.996078431372549,1.0,0.9117386299003929,127,0.12789526686807653,127,0,1,865,384465.42,0.0,0.01364304727418342,0.9999999999999648,1.0
