step,transactions,alerts,alert_rate
324,13214,23,0.001740578174663236
325,12706,3,0.00023610892491736187
326,11983,11,0.0009179671200867896
327,11695,9,0.0007695596408721676
328,12235,19,0.0015529219452390683
329,14743,13,0.000881774401410839
330,16816,5,0.0002973358705994291
331,18378,5,0.00027206442485580584
332,15153,7,0.0004619547284366132
333,5050,4,0.0007920792079207921
334,3584,3,0.0008370535714285714
335,2771,1,0.00036088054853843375
336,724,4,0.0055248618784530384
337,98,0,0.0
338,73,0,0.0
339,10,1,0.1
340,10,2,0.2
341,10,2,0.2
342,14,0,0.0
343,12,2,0.16666666666666666
344,6,1,0.16666666666666666
345,6088,11,0.0018068331143232589
346,11480,22,0.001916376306620209
347,13393,17,0.0012693197939221983
348,12845,21,0.0016348773841961854
349,13337,23,0.0017245257554172602
350,12630,12,0.0009501187648456057
351,12124,18,0.0014846585285384361
352,12121,12,0.0009900173253031927
353,13755,6,0.0004362050163576881
354,18952,4,0.00021105951878429716
355,20564,8,0.00038902937171756465
356,14261,8,0.0005609704789285464
357,5396,7,0.0012972572275759822
358,3713,2,0.0005386479935362241
359,2093,3,0.001433349259436216
360,966,2,0.002070393374741201
361,327,4,0.012232415902140673
362,113,6,0.05309734513274336
363,14,4,0.2857142857142857
364,6,1,0.16666666666666666
365,14,3,0.21428571428571427
366,10,4,0.4
367,14,2,0.14285714285714285
368,6,1,0.16666666666666666
369,5916,2,0.0003380662609871535
370,10955,16,0.001460520310360566
371,12684,9,0.0007095553453169347
372,13263,13,0.0009801703988539547
373,12883,23,0.0017852984553287277
374,12449,9,0.0007229496345087958
375,11618,11,0.0009468066792907557
376,8942,4,0.00044732721986132855
377,8220,9,0.0010948905109489052
