step,transactions,alerts,alert_rate,transactions_outside_reference,alert_rate_outside_reference,zero_volume
378,17554,4,0.0002278682921271505,False,False,False
379,19702,16,0.0008121002943863567,False,False,False
380,16177,14,0.0008654262224145391,False,False,False
381,5462,4,0.0007323324789454412,False,False,False
382,3831,8,0.0020882276168102325,False,False,False
383,2082,14,0.0067243035542747355,False,False,False
384,902,6,0.0066518847006651885,False,False,False
385,272,8,0.029411764705882353,False,False,False
386,130,16,0.12307692307692308,False,False,False
387,28,27,0.9642857142857143,False,False,False
388,18,18,1.0,False,False,False
389,10,10,1.0,False,False,False
390,12,12,1.0,False,False,False
391,12,12,1.0,False,False,False
392,10,10,1.0,False,False,False
393,8385,4,0.0004770423375074538,False,False,False
394,12796,10,0.0007814942169427947,False,False,False
395,9852,8,0.0008120178643930166,False,False,False
396,15636,8,0.0005116398055768739,False,False,False
397,13944,10,0.000717154331612163,False,False,False
398,12229,26,0.0021260937116689836,False,False,False
399,13767,12,0.0008716495968620615,False,False,False
400,14393,16,0.0011116514972556103,False,False,False
401,15720,16,0.0010178117048346056,False,False,False
402,19150,12,0.0006266318537859008,False,False,False
403,20981,16,0.0007625947285639388,True,False,False
404,16149,18,0.001114620100315809,False,False,False
405,6110,10,0.0016366612111292963,False,False,False
406,3883,24,0.006180788050476436,False,False,False
407,2221,6,0.0027014858171994596,False,False,False
408,2072,10,0.004826254826254826,False,False,False
409,110,20,0.18181818181818182,False,False,False
410,20,20,1.0,False,False,False
411,16,16,1.0,False,False,False
412,8,8,1.0,False,False,False
413,81,14,0.1728395061728395,False,False,False
414,16,16,1.0,False,False,False
415,16,16,1.0,False,False,False
416,770,8,0.01038961038961039,False,False,False
417,6,6,1.0,False,False,False
418,6,6,1.0,False,False,False
419,420,10,0.023809523809523808,False,False,False
420,1118,12,0.01073345259391771,False,False,False
421,14,14,1.0,False,False,False
422,434,10,0.02304147465437788,False,False,False
423,265,6,0.022641509433962263,False,False,False
424,14,14,1.0,False,False,False
425,28,26,0.9285714285714286,False,False,False
426,2347,2,0.0008521516829995739,False,False,False
427,14,14,1.0,False,False,False
428,1104,6,0.005434782608695652,False,False,False
429,829,4,0.0048250904704463205,False,False,False
430,8,8,1.0,False,False,False
431,420,6,0.014285714285714285,False,False,False
432,4,4,1.0,True,False,False
433,6,6,1.0,False,False,False
434,8,8,1.0,False,False,False
435,4,4,1.0,True,False,False
436,55,16,0.2909090909090909,False,False,False
437,16,16,1.0,False,False,False
438,12,12,1.0,False,False,False
439,121,12,0.09917355371900827,False,False,False
440,18,18,1.0,False,False,False
441,10,10,1.0,False,False,False
442,388,12,0.030927835051546393,False,False,False
443,10,10,1.0,False,False,False
444,20,20,1.0,False,False,False
445,53,6,0.11320754716981132,False,False,False
446,12,12,1.0,False,False,False
447,10,10,1.0,False,False,False
448,1058,6,0.005671077504725898,False,False,False
449,448,6,0.013392857142857142,False,False,False
450,16,16,1.0,False,False,False
451,1638,4,0.002442002442002442,False,False,False
452,92,10,0.10869565217391304,False,False,False
453,31,8,0.25806451612903225,False,False,False
454,23,6,0.2608695652173913,False,False,False
455,156,10,0.0641025641025641,False,False,False
456,18,17,0.9444444444444444,False,False,False
457,10,10,1.0,False,False,False
458,97,6,0.061855670103092786,False,False,False
459,8,8,1.0,False,False,False
460,42,16,0.38095238095238093,False,False,False
461,58,16,0.27586206896551724,False,False,False
462,16,16,1.0,False,False,False
463,10,10,1.0,False,False,False
464,16,16,1.0,False,False,False
465,12,12,1.0,False,False,False
466,349,6,0.017191977077363897,False,False,False
467,12,12,1.0,False,False,False
468,12,12,1.0,False,False,False
469,2766,8,0.0028922631959508315,False,False,False
470,12,12,1.0,False,False,False
471,1097,2,0.0018231540565177757,False,False,False
472,65,8,0.12307692307692308,False,False,False
473,10,10,1.0,False,False,False
474,1161,8,0.0068906115417743325,False,False,False
475,14,14,1.0,False,False,False
476,1667,8,0.004799040191961607,False,False,False
477,10,10,1.0,False,False,False
478,537,6,0.0111731843575419,False,False,False
479,155,4,0.025806451612903226,False,False,False
480,6,6,1.0,False,False,False
481,14,14,1.0,False,False,False
482,16,16,1.0,False,False,False
483,82,8,0.0975609756097561,False,False,False
484,6,6,1.0,False,False,False
485,12,12,1.0,False,False,False
486,8,8,1.0,False,False,False
487,200,14,0.07,False,False,False
488,8,8,1.0,False,False,False
489,14,14,1.0,False,False,False
490,1658,10,0.006031363088057901,False,False,False
491,12,12,1.0,False,False,False
492,2214,6,0.0027100271002710027,False,False,False
493,793,8,0.01008827238335435,False,False,False
494,8,8,1.0,False,False,False
495,1490,16,0.010738255033557046,False,False,False
496,347,6,0.01729106628242075,False,False,False
497,20,20,1.0,False,False,False
498,12,12,1.0,False,False,False
499,10,10,1.0,False,False,False
500,2600,4,0.0015384615384615385,False,False,False
501,28,28,1.0,False,False,False
502,108,12,0.1111111111111111,False,False,False
503,438,10,0.0228310502283105,False,False,False
504,10,10,1.0,False,False,False
505,184,8,0.043478260869565216,False,False,False
506,8,8,1.0,False,False,False
507,14,14,1.0,False,False,False
508,6,6,1.0,False,False,False
509,86,14,0.16279069767441862,False,False,False
510,10,10,1.0,False,False,False
511,6,6,1.0,False,False,False
512,12,12,1.0,False,False,False
513,10,10,1.0,False,False,False
514,3610,14,0.003878116343490305,False,False,False
515,6,6,1.0,False,False,False
516,14,14,1.0,False,False,False
