period,first_step,last_step,steps_covered,transactions,fraud_count,fraud_prevalence,precision,recall,F1,AP,threshold,alerts,alert_rate,TP,FP,FN,TN,median_amount,median_opening_balance,median_score,p99_score,transfer_share,retrospective_label_coverage,low_volume,amount_PSI,oldbalanceOrg_PSI,score_PSI,transfer_share_change,distribution_watch,type_mix_watch
15,378,384,7,65710,66,0.0010044133313042154,1.0,1.0,1.0,1.0,0.9117386299003929,66,0.0010044133313042154,66,0,0,65644,147379.035,152.0,0.011633799354654082,0.03926874389060504,0.18558819053416528,1.0,False,0.05579647828316506,0.0005086121524663559,0.0018804660895011022,-0.010468695175456427,False,False
16,385,408,24,187780,320,0.0017041218447118968,1.0,0.996875,0.9984350547730829,1.0,0.9117386299003929,319,0.0016987964639471722,319,0,1,187460,169709.755,244.0,0.011482851729195657,0.04573753743685236,0.18967941207796357,1.0,False,0.004305484801987048,6.888335165392806e-05,0.0009558344588132615,-0.006377473631658137,False,False
17,409,432,24,8068,268,0.033217649975210706,1.0,0.9925373134328358,0.9962546816479401,1.0,0.9117386299003929,266,0.032969757064947945,266,0,2,7800,168406.765,6121.5,0.005934530670566325,0.9999999999997624,0.2314080317302925,1.0,False,0.004849080350255368,0.03410902669190646,0.031072605048408725,0.0353511460206708,False,False
18,433,456,24,4223,256,0.06062041202936301,1.0,0.99609375,0.9980430528375733,1.0,0.9117386299003929,255,0.060383613544873316,255,0,1,3967,152144.39,6634.0,0.0072847266879617865,0.9999999999999345,0.23514089509827138,1.0,False,0.027058863098922338,0.0475776207087884,0.0429177871050575,0.03908400938864967,False,False
19,457,480,24,8142,236,0.028985507246376812,1.0,1.0,1.0,1.0,0.9117386299003929,236,0.028985507246376812,236,0,0,7906,173637.27,4552.0,0.007537466387371522,0.9999999999996044,0.2396217145664456,1.0,False,0.0014953286726820776,0.021915312508855967,0.025292570994000473,0.04356482885682389,False,False
20,481,504,24,10108,272,0.026909378709932725,1.0,1.0,1.0,1.0,0.9117386299003929,272,0.026909378709932725,272,0,0,9836,174688.0,2657.0,0.007987033390635313,0.9999999999996109,0.2513850415512465,1.0,False,0.004083182704355173,0.017147052897313775,0.021424965571483802,0.055328155841624815,False,False
21,505,528,24,21529,256,0.011890937804821403,1.0,1.0,1.0,1.0,0.9117386299003929,256,0.011890937804821403,256,0,0,21273,165970.72,888.0,0.010749889275559442,0.9999999999774778,0.22281573691300108,1.0,False,0.005549662395631962,0.003682218205697953,0.010084816568958248,0.02675885120337937,False,False
22,529,552,24,20790,216,0.01038961038961039,1.0,1.0,1.0,1.0,0.9117386299003929,216,0.01038961038961039,216,0,0,20574,166322.21500000003,2671.42,0.005924824860719413,0.9999999996919015,0.22405002405002405,1.0,False,0.007255043374058217,0.014428745234206545,0.014774805646926582,0.027993138340402346,False,False
23,553,576,24,13774,280,0.020328154493974154,1.0,0.9964285714285714,0.998211091234347,1.0,0.9117386299003929,279,0.020255553942209962,279,0,1,13494,171545.14500000002,4050.5,0.006094658818463773,0.9999999999983918,0.22491650936547117,1.0,False,0.010286829524259578,0.021103645289178886,0.026652864280586927,0.02885962365584946,False,False
24,577,600,24,24403,240,0.009834856370118428,1.0,0.9916666666666667,0.99581589958159,0.9999999999999999,0.9117386299003929,238,0.009752899233700775,238,0,2,24163,160069.94,5101.0,0.00398529458789924,0.13791568974757523,0.21919436134901446,1.0,False,0.020103254677369037,0.027311086152912268,0.03191890460090736,0.02313747563939275,False,False
25,601,624,24,5458,272,0.04983510443385856,1.0,0.9963235294117647,0.998158379373849,1.0,0.9117386299003929,271,0.04965188713814584,271,0,1,5186,144574.10499999998,10612.5,0.003969894705155642,0.999999999999852,0.22792231586661782,1.0,False,0.041083252308246415,0.07732733420623916,0.0565659902464208,0.03186543015699611,False,False
26,625,648,24,3722,280,0.07522837184309511,1.0,0.9857142857142858,0.9928057553956835,1.0,0.9117386299003929,276,0.07415368081676518,276,0,4,3442,179653.585,9302.11,0.007225470107458062,0.9999999999999271,0.23858140784524448,1.0,False,0.010335027898156898,0.06146554395595952,0.05202684421517578,0.04252452213562277,False,False
27,649,672,24,5724,248,0.04332634521313766,1.0,0.9959677419354839,0.997979797979798,1.0,0.9117386299003929,247,0.04315164220824598,247,0,1,5476,188017.66999999998,5349.74,0.0059873854770866805,0.9999999999997878,0.2611809923130678,1.0,False,0.008683549424089445,0.03161096256165152,0.030777933825663906,0.06512410660344609,False,False
28,673,696,24,23313,260,0.011152575816068287,1.0,1.0,1.0,0.9999999999999999,0.9117386299003929,260,0.011152575816068287,260,0,0,23053,169934.3,4401.0,0.005538489337727353,0.9999999999583635,0.2293999056320508,1.0,False,0.010544499584682952,0.019679227396283853,0.024799599470348283,0.03334301992242908,False,False
29,697,720,24,5061,268,0.05295396166765461,1.0,0.9925373134328358,0.9962546816479401,1.0,0.9117386299003929,266,0.05255878284923928,266,0,2,4793,168028.16,21079.0,0.0005094450561019243,0.9999999999998883,0.2003556609365738,1.0,False,0.02302820815570595,0.6059372240430283,0.5412136705256342,0.004298775226952101,True,False
30,721,743,23,272,272,1.0,1.0,0.9889705882352942,0.9944547134935305,,0.9117386299003929,269,0.9889705882352942,269,0,3,0,338364.14,338364.14,0.9999999999976924,0.999999999999988,0.5,1.0,False,0.5157208823595789,3.809395539737948,5.568336096647356,0.3039431142903783,True,True
