threshold,transactions,fraud,alerts,fraud_rate,alert_rate,precision,recall,F1,AP,TP,FP,FN,TN
0.1,410437,560,410437,0.0013643994084353993,1.0,0.0013643994084353993,1.0,0.002725080718350742,0.04863723122450187,560,409877,0,0
0.2,410437,560,410437,0.0013643994084353993,1.0,0.0013643994084353993,1.0,0.002725080718350742,0.04863723122450187,560,409877,0,0
0.3,410437,560,96132,0.0013643994084353993,0.2342186498780568,0.004316980818041859,0.7410714285714286,0.00858395730774004,0.04863723122450187,415,95717,145,314160
0.4,410437,560,96132,0.0013643994084353993,0.2342186498780568,0.004316980818041859,0.7410714285714286,0.00858395730774004,0.04863723122450187,415,95717,145,314160
0.5,410437,560,84564,0.0013643994084353993,0.20603405638380556,0.004706494489380824,0.7107142857142857,0.009351064329683755,0.04863723122450187,398,84166,162,325711
0.6,410437,560,84564,0.0013643994084353993,0.20603405638380556,0.004706494489380824,0.7107142857142857,0.009351064329683755,0.04863723122450187,398,84166,162,325711
0.7,410437,560,33118,0.0013643994084353993,0.0806896064438635,0.008092276103629446,0.4785714285714286,0.015915434408219017,0.04863723122450187,268,32850,292,377027
0.8,410437,560,29435,0.0013643994084353993,0.07171624390588568,0.008527263461865126,0.44821428571428573,0.01673612268711452,0.04863723122450187,251,29184,309,380693
0.9,410437,560,412,0.0013643994084353993,0.0010038081362060438,0.24514563106796117,0.18035714285714285,0.20781893004115226,0.04863723122450187,101,311,459,409566
0.95,410437,560,412,0.0013643994084353993,0.0010038081362060438,0.24514563106796117,0.18035714285714285,0.20781893004115226,0.04863723122450187,101,311,459,409566
0.99,410437,560,412,0.0013643994084353993,0.0010038081362060438,0.24514563106796117,0.18035714285714285,0.20781893004115226,0.04863723122450187,101,311,459,409566
